Results for error margin CALCULATE PROBABILITY
r: 100000, b: 1, d: 10, a: 10, v: 2, function: 40.351440457598144, result: 184.62199999999999
r: 100000, b: 1, d: 50, a: 1, v: 2, function: 343.92353207090275, result: 444.532
r: 100000, b: 1, d: 50, a: 5, v: 2, function: 152.02962441944453, result: 159.22400000000002
r: 100000, b: 1, d: 50, a: 10, v: 2, function: 135.5436560473633, result: 179.51
r: 100000, b: 1, d: 100, a: 1, v: 2, function: 687.8470641418055, result: 742.3960000000001
r: 100000, b: 1, d: 100, a: 5, v: 2, function: 304.05924883888906, result: 458.28999999999996
r: 100000, b: 1, d: 100, a: 10, v: 2, function: 271.0873120947266, result: 462.462
r: 100000, b: 1, d: 500, a: 1, v: 2, function: 2095.172611581026, result: 1951.48
r: 100000, b: 1, d: 500, a: 5, v: 2, function: 926.1602522938235, result: 1062.108
r: 100000, b: 1, d: 500, a: 10, v: 2, function: 825.7281905486134, result: 896.71
r: 100000, b: 1, d: 1000, a: 1, v: 2, function: 4190.345223162052, result: 3704.362
r: 100000, b: 1, d: 1000, a: 5, v: 2, function: 1852.320504587647, result: 1916.102
r: 100000, b: 1, d: 1000, a: 10, v: 2, function: 1651.4563810972268, result: 1590.614
Results for error margin CALCULATE PROBABILITY
r: 10, b: 1, d: 10, a: 1, v: 2, function: 0.04667602278868616, result: 0.047
r: 10, b: 1, d: 10, a: 5, v: 2, function: 0.020632895257933277, result: 0.047400000000000005
r: 10, b: 1, d: 10, a: 10, v: 2, function: 0.01839548093854851, result: 0.047200000000000006
r: 10, b: 1, d: 50, a: 1, v: 2, function: 0.15678842457127862, result: 0.10460000000000001
r: 10, b: 1, d: 50, a: 5, v: 2, function: 0.06930751483435511, result: 0.048600000000000004
r: 10, b: 1, d: 50, a: 10, v: 2, function: 0.06179186450061272, result: 0.05480000000000001
r: 10, b: 1, d: 100, a: 1, v: 2, function: 0.31357684914255723, result: 0.168
r: 10, b: 1, d: 100, a: 5, v: 2, function: 0.13861502966871023, result: 0.10879999999999998
r: 10, b: 1, d: 100, a: 10, v: 2, function: 0.12358372900122544, result: 0.10200000000000001
r: 10, b: 1, d: 500, a: 1, v: 2, function: 0.9551507307355686, result: 0.3912
