Results for error margin CALCULATE PROBABILITY
 1.5
Red: 
[('r', 100000.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 687.8470641418055), (' result', 738.5939999999999), 0.9312925154304064]
[('r', 5000.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 83.13121175251813), (' result', 88.9704), 0.9343693155534664]
[('r', 100000.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 152.02962441944453), (' result', 159.016), 0.9560649520768006]
[('r', 10000.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 185.82539596996483), (' result', 193.5622), 0.9600293650824636]
[('r', 10000.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 210.18839839444595), (' result', 217.847), 0.9648441263567823]
[('r', 100000.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 1852.320504587647), (' result', 1918.104), 0.9657038954027763]
[('r', 500.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 22.435685116169456), (' result', 23.0488), 0.9733992709455354]
[('r', 5000.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 210.93410643482747), (' result', 215.7276), 0.9777798781186435]
[('r', 50000.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 826.022081442117), (' result', 842.854), 0.980029852669759]
[('r', 10.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 0.04667602278868616), (' result', 0.047), 0.9931068678443864]
[('r', 50.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 1.4132160866622647), (' result', 1.4134000000000002), 0.9998698787761883]
[('r', 5000.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 105.46705321741373), (' result', 105.301), 1.0015769386559836]
[('r', 1000.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 1.4031964603705405), (' result', 1.4006), 1.0018538200560763]
[('r', 500.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 0.7257193917493647), (' result', 0.721), 1.006545619624639]
[('r', 50.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 1.7929214921518264), (' result', 1.7534), 1.0225399179604349]
[('r', 50000.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 1047.959159810704), (' result', 1020.3580000000001), 1.027050466415419]
[('r', 10000.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 165.67464171802914), (' result', 160.8642), 1.02990374314502]
[('r', 100000.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 1651.4563810972268), (' result', 1591.1779999999999), 1.0378828648317329]
[('r', 1000.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 43.37995415157589), (' result', 41.3634), 1.048752137193168]
[('r', 100.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 0.18373773685242428), (' result', 0.173), 1.0620678430775972]
[('r', 50.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 3.585842984303653), (' result', 3.3697999999999997), 1.0641115153135656]
[('r', 100000.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 2095.172611581026), (' result', 1953.81), 1.0723522817372344]
[('r', 50000.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 2095.918319621408), (' result', 1892.074), 1.1077359128773019]
[('r', 50.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 0.11599002999030676), (' result', 0.10320000000000001), 1.1239343991308792]
